post_id,title,expected_tags,predicted_tags,top_score,decision,notes
a1f3c8b2-4c6e-4c9a-9d8e-1f2a3b4c5d6e,I Finally Paid Off All My Debt and It Feels Unreal,"finance;personal_story;debtfree","work-life-balance;finance;emotions",0.348,abstained,Correct intent but vocabulary lacks debt-related tags
b2a7d9c4-8e1a-4d1f-91c3-6a5e4f3d2c1b,Why Learning to Cook as an Adult Changed My Life,"lifestyle;food;self-improvement","motivation;education;personal-growth",0.336,abstained,Cooking/food/lifestyle concepts missing from tag set; model converged to adjacent self-improvement semantics.There is a vocabulary gap.
c3d4e5f6-7a8b-4c9d-8e1f-2a3b4c5d6e7f,I Left a High-Paying Job Because I Was Miserable,"career;mentalhealth;life-choices","work-life-balance;mental-health;motivation",0.404,"Partial match (semantically correct, conservative selection)",Primary theme correctly detected. Secondary relevant tags were below confidence threshold and intentionally excluded.
d4e5f6a7-b8c9-4d1e-9f2a-3b4c5d6e7f8a,The Unexpected Loneliness of Remote Work,"remote_work;mentalhealth;work-life","work-from-home;remote;work-life-balance",0.534,"Partial match (high-confidence contextual tags)","Model strongly identified remote work context. Emotional and mental-health aspects were semantically relevant but lacked explicit lexical cues, leading to conservative exclusion."
e5f6a7b8-c9d1-4e2f-a3b4-5c6d7e8f9a0b,Why Modern Dating Feels So Draining,"dating;relationships;modernlife","burnout;romance;relationships",0.369,"Partial match (theme captured, scope shifted)","Model prioritized emotional exhaustion signals over relational context. Dating-specific vocabulary was absent, leading to burnout being selected as the strongest semantic match."
f6a7b8c9-d1e2-4f3a-b4c5-6d7e8f9a0b1c,I Took a Social Media Break and Didn’t Miss It,"socialmedia;mentalhealth;digitaldetox","social-media;twitter;facebook",0.386,"Partial match (gap-based abstention triggered)","Top tags exceeded thresholds but were too close in score (confidence gap < 0.05), triggering abstention. All top tags are actually relevant."
0a1b2c3d-4e5f-4a6b-8c9d-1e2f3a4b5c6d,What Therapy Taught Me About Myself,"therapy;mentalhealth;selfreflection","self-improvement;mindfulness;psychology",0.492,"Partial match (gap-based abstention triggered)","Top tags exceeded thresholds but were too close in score (confidence gap < 0.05), triggering abstention. Predicted tags are semantically relevant to expected tags."
1b2c3d4e-5f6a-4b7c-9d1e-2f3a4b5c6d7e,Why Everyone Feels Financially Behind,"money;society;finance","finance;lifestyle;society",0.376,"Correct but abstained (policy-induced)","Model correctly identified finance and lifestyle as top tags. Abstained due to small confidence gap between top predictions and strict confidence policy. Indicates overlapping valid tags rather than semantic error."
2c3d4e5f-6a7b-4c8d-1e9f-3a4b5c6d7e8f,I Tried Waking Up at 5 AM for a Month,"habit;productivity;experiments","time-management;habits;work-life-balance",0.248,"Missed – weak semantic signal","Model failed to strongly associate habit-based self-experiment content with existing tags. Indicates missing productivity/experiment-related vocabulary and overly high domain threshold for lifestyle habit content."
3d4e5f6a-7b8c-4d9e-1f2a-4b5c6d7e8f9a,The Pressure of Being the ‘Successful’ One,"mentalhealth;Pressure;personal_story","motivation;personal-growth;emotions",0.472,"Correct but misclassified","Model captured emotional and reflective tone but framed content as motivation/personal growth rather than pressure or mental-health-related personal narrative. Indicates positive-framing bias and weak pressure/mental-health anchors."
4e5f6a7b-8c9d-4e1f-2a3b-5c6d7e8f9a0b,Why Rest Feels So Hard to Justify,"rest;burnout;mentalhealth","productivity;motivation;work-life-balance",0.508,"Partially correct – positivity bias","Model correctly identified productivity and work-life balance context but exhibited positivity bias by predicting motivation. Post critiques productivity culture and emphasizes rest and burnout, indicating missing stance/polarity awareness and weak burnout anchors."
5f6a7b8c-9d1e-4f2a-3b4c-6d7e8f9a0b1c,I Failed My Biggest Goal and Learned More Than I Expected,"failure;growth;life-lesson","motivation;self-improvement;personal-growth",0.475,"Abstained – semantic ambiguity","Model associated post with motivation and growth due to positive reframing language, but primary theme is emotional processing of failure. Absence of explicit failure-centric tags caused semantic ambiguity, triggering confidence-gap abstention."
6a7b8c9d-1e2f-4a3b-4c5d-7e8f9a0b1c2d,Why Adult Life Feels Like Constant Catch-Up,"stress;adulting;modernlife","work-life-balance;personal-growth;habits",0.482,"Partial match with semantic drift","Primary tag 'work-life-balance' correctly captures adult overwhelm. Secondary tags 'personal-growth' and 'habits' are semantically adjacent but misaligned; post discusses situational stress and modern adult responsibilities, not behavior change or growth. Indicates vocabulary gap for adulting/stress concepts."
7b8c9d1e-2f3a-4b4c-5d6e-8f9a0b1c2d3e,I Simplified My Life and Lost Nothing Important,"lifestyle;minimalism;simplicity","motivation;self-improvement;work-life-balance",0.352,"Incorrect primary tag","Post focuses on intentional simplification and minimalism rather than motivation or goal pursuit. Model appears biased toward positive agency language, mapping peaceful lifestyle changes to 'motivation' due to missing or weak minimalism-related vocabulary."
